section	command_id	title	action_key
Main	40188	Envelope: Set default point shape to square	Main:40188
Main	40189	Envelope: Set shape of selected points to linear	Main:40189
Main	40190	Envelope: Set shape of selected points to square	Main:40190
Main	40195	Project bay: Add comment for items	Main:40195
Main	40196	Item: Split items at play cursor	Main:40196
Main	40197	Mixer: Toggle tracks with receives in mixer	Main:40197
Main	40198	Mixer: Toggle tracks with receives grouping to left	Main:40198
Main	40199	Mixer: Toggle show tracks in folders in mixer	Main:40199
Main	40200	Time selection: Insert empty space at time selection (moving later items)	Main:40200
Main	40201	Time selection: Remove contents of time selection (moving later items)	Main:40201
Main	40202	Item: Open items in secondary external editor	Main:40202
Main	40203	Item: Open item copies in secondary external editor	Main:40203
Main	40204	Item properties: Pitch item up one semitone	Main:40204
Main	40205	Item properties: Pitch item down one semitone	Main:40205
Main	40206	Item properties: Pitch item up one cent	Main:40206
Main	40207	Item properties: Pitch item down one cent	Main:40207
Main	40208	Insert timecode generator	Main:40208
Main	40209	Item: Apply track/take FX to items	Main:40209
Main	40210	Track: Copy tracks	Main:40210
Main	40214	Insert new MIDI item...	Main:40214
Main	40218	Transient detection threshold: Increase	Main:40218
Main	40219	Transient detection threshold: Decrease	Main:40219
Main	40221	Mixer: Toggle scroll view when tracks activated	Main:40221
Main	40222	Loop points: Set start point	Main:40222
Main	40223	Loop points: Set end point	Main:40223
Main	40224	Take: Explode takes of items across tracks	Main:40224
Main	40225	Item edit: Grow left edge of items	Main:40225
Main	40226	Item edit: Shrink left edge of items	Main:40226
Main	40227	Item edit: Shrink right edge of items	Main:40227
Main	40228	Item edit: Grow right edge of items	Main:40228
Main	40239	Options: Toggle always on top	Main:40239
Main	40240	View: Show performance meter window	Main:40240
Main	40249	Options: Select takes for all selected items when clicking take lane	Main:40249
Main	40250	Track: Toggle show/hide in mixer	Main:40250
Main	40251	View: Show routing matrix window	Main:40251
Main	40252	Record: Set record mode to normal	Main:40252
Main	40253	Record: Set record mode to selected item auto-punch	Main:40253
Main	40254	Item properties: Normalize multiple items to common gain	Main:40254
Main	40256	Tempo envelope: Insert tempo/time signature change marker at edit cursor...	Main:40256
Main	40257	Item: Glue items, ignoring time selection, including leading fade-in and trailing fade-out	Main:40257
Main	40258	View: Toggle displaying labels above/within media items	Main:40258
Main	40259	View: Toggle transport visible	Main:40259
Main	40260	Transport: Toggle transport docked to main window	Main:40260
Main	40262	View: Toggle auto-view-scroll while recording	Main:40262
Main	40263	Options: When importing, copy imported media to project media directory	Main:40263
Main	40266	Automation: Set all tracks automation mode to latch	Main:40266
Main	40268	View: Show navigator window	Main:40268
Main	40270	Item: Reverse items to new take	Main:40270
Main	40271	View: Show FX browser window	Main:40271
Main	40276	Options: Move edit cursor to start of time selection, when time selection changes	Main:40276
Main	40277	Options: Show lock settings	Main:40277
Main	40279	View: Show docker	Main:40279
Main	40280	Track: Mute/unmute tracks	Main:40280
Main	40281	Track: Solo/unsolo tracks	Main:40281
Main	40282	Track: Invert track phase	Main:40282
Main	40283	Track: Nudge track pan left	Main:40283
Main	40284	Track: Nudge track pan right	Main:40284
Main	40285	Track: Go to next track	Main:40285
Main	40286	Track: Go to previous track	Main:40286
Main	40287	Track: Go to next track (leaving other tracks selected)	Main:40287
Main	40288	Track: Go to previous track (leaving other tracks selected)	Main:40288
Main	40289	Item: Unselect all items	Main:40289
Main	40290	Time selection: Set time selection to items	Main:40290
Main	40291	Track: View FX chain for current/last touched track	Main:40291
Main	40292	Track: View envelopes for current/last touched track	Main:40292
Main	40293	Track: View routing and I/O for current/last touched track	Main:40293
Main	40294	Track: Toggle record arming for current/last touched track	Main:40294
Main	40295	View: Zoom out project	Main:40295
Main	40296	Track: Select all tracks	Main:40296
Main	40297	Track: Unselect all tracks	Main:40297
Main	40298	Track: Toggle FX bypass for current/last touched track	Main:40298
Main	40299	Item: Move to source preferred position (used by BWF)	Main:40299
Main	40300	Options: Move edit cursor to end of recording, when recording ends	Main:40300
Main	40301	View: Scale finder window	Main:40301
Main	40303	Toolbars: Switch to MIDI piano roll toolbar	Main:40303
Main	40304	Markers: Change color for marker near cursor...	Main:40304
Main	40305	Markers: Change color for region near cursor...	Main:40305
Main	40306	Markers: Insert region from time selection and edit...	Main:40306
Main	40307	Item: Cut selected area of items	Main:40307
Main	40308	Help: Mouse modifier keys and action shortcuts	Main:40308
Main	40309	Set ripple editing off	Main:40309
Main	40310	Set ripple editing per-track	Main:40310
Main	40311	Set ripple editing all tracks	Main:40311
Main	40312	Item: Remove selected area of items	Main:40312
Main	40313	View: Attach/unattach docker to/from main window	Main:40313
Main	40315	Item: Auto trim/split items (remove silence)...	Main:40315
Main	40316	Item: Quantize item positions to grid...	Main:40316
Main	40317	Transport: Play (skip time selection)	Main:40317
Main	40318	Item navigation: Move cursor left to edge of item	Main:40318
Main	40319	Item navigation: Move cursor right to edge of item	Main:40319
Main	40320	Time selection: Nudge left edge left	Main:40320
Main	40321	Time selection: Nudge left edge right	Main:40321
Main	40322	Time selection: Nudge right edge left	Main:40322
Main	40323	Time selection: Nudge right edge right	Main:40323
Main	40324	Envelope: Copy points within time selection	Main:40324
Main	40325	Envelope: Cut points within time selection	Main:40325
Main	40326	View: Show region/marker manager window	Main:40326
Main	40330	Envelope: Select points in time selection	Main:40330
Main	40331	Envelope: Unselect all points	Main:40331
Main	40332	Envelope: Select all points	Main:40332
Main	40333	Envelope: Delete all selected points	Main:40333
Main	40334	Envelope: Invert selected points	Main:40334
Main	40335	Envelope: Copy selected points	Main:40335
Main	40336	Envelope: Cut selected points	Main:40336
Main	40337	Track: Cut tracks	Main:40337
Main	40338	Create measure from time selection (detect tempo)	Main:40338
Main	40339	Track: Unmute all tracks	Main:40339
Main	40340	Track: Unsolo all tracks	Main:40340
Main	40341	Track: Mute all tracks	Main:40341
Main	40342	Track: Bypass FX on all tracks	Main:40342
Main	40343	Track: Unbypass FX on all tracks	Main:40343
Main	40344	Track: Toggle FX bypass on all tracks	Main:40344
Main	40345	Send all notes off to all MIDI outputs/plug-ins	Main:40345
Main	40346	Toggle fullscreen	Main:40346
Main	40348	Markers: Insert region from selected items	Main:40348
Main	40357	Track: Set to custom color...	Main:40357
Main	40358	Track: Set to random colors	Main:40358
Main	40359	Track: Set to default color	Main:40359
Main	40360	Track: Set to one random color	Main:40360
Main	40361	Item: Apply track/take FX to items (mono output)	Main:40361
Main	40362	Item: Glue items, ignoring time selection	Main:40362
Main	40363	Options: Show metronome/pre-roll settings	Main:40363
Main	40364	Options: Toggle metronome	Main:40364
Main	40371	Mixer: Toggle show multiple rows when space	Main:40371
Main	40372	Mixer: Toggle show multiple rows even when space to fit tracks in less rows	Main:40372
Main	40375	Item navigation: Move cursor to next transient in items	Main:40375
Main	40376	Item navigation: Move cursor to previous transient in items	Main:40376
Main	40377	View: Show virtual MIDI keyboard	Main:40377
Main	40378	View: Show big clock window	Main:40378
Main	40379	Transport: Time unit to ruler	Main:40379
Main	40380	Item properties: Set item timebase to project/track default	Main:40380
Main	40381	Options: Switch to next color theme	Main:40381
Main	40382	Options: Switch to previous color theme	Main:40382
Main	40383	Options: Switch to a random color theme	Main:40383
Main	40389	Mixer: Toggle show master track on right side	Main:40389
Main	40390	Options: Toggle smooth seek (see preferences/Audio/Seeking)	Main:40390
Main	40392	Track: Save tracks as track template...	Main:40392
Main	40393	Markers: Insert region from selected items and edit...	Main:40393
Main	40394	File: Save project as template...	Main:40394
Main	40405	Track: Render tracks to stereo post-fader stem tracks (and mute originals)	Main:40405
Main	40406	Track: Toggle track volume envelope visible	Main:40406
Main	40407	Track: Toggle track pan envelope visible	Main:40407
Main	40408	Track: Toggle track pre-FX volume envelope visible	Main:40408
Main	40409	Track: Toggle track pre-FX pan envelope visible	Main:40409
Main	40410	Transport: Time unit: Minutes:Seconds	Main:40410
Main	40411	Transport: Time unit: Measures.Beats	Main:40411
Main	40412	Transport: Time unit: Seconds	Main:40412
Main	40413	Transport: Time unit: Samples	Main:40413
Main	40414	Transport: Time unit: Hours:Minutes:Seconds:Frames	Main:40414
Main	40415	Envelope: Reset selected points to zero/center	Main:40415
Main	40416	Item navigation: Select and move to previous item	Main:40416
Main	40417	Item navigation: Select and move to next item	Main:40417
Main	40418	Item navigation: Select and move to item in previous track	Main:40418
